Epoch,Training accuracy,Training loss,Validation accuracy,Validation loss
1,0.7832897901535034,0.616348922252655,0.9354838728904724,0.20367901027202606
2,0.9007833003997803,0.25665929913520813,0.9354838728904724,0.24402645230293274
3,0.9621409773826599,0.12796063721179962,0.9612902998924255,0.17069663107395172
4,0.9582245349884033,0.11049938946962357,0.9419354796409607,0.207567498087883
5,0.9738903641700745,0.08359478414058685,0.9354838728904724,0.15294763445854187
6,0.9817232489585876,0.053931109607219696,0.896774172782898,0.34065181016921997
7,0.9830287098884583,0.05136890709400177,0.9354838728904724,0.12977561354637146
8,0.9856396913528442,0.034871652722358704,0.9612902998924255,0.13865064084529877
9,0.9856396913528442,0.04309077560901642,0.9354838728904724,0.23676149547100067
10,0.9869451522827148,0.03574232757091522,0.9419354796409607,0.2779742479324341
