Epoch,Training accuracy,Training loss,Validation accuracy,Validation loss
1,0.6697127819061279,0.9508459568023682,0.8064516186714172,0.6122035384178162
2,0.9164490699768066,0.2405657023191452,0.9032257795333862,0.38147586584091187
3,0.9516971111297607,0.15611223876476288,0.9290322661399841,0.27436596155166626
4,0.9673629403114319,0.09522303938865662,0.9548386931419373,0.17402580380439758
5,0.9843342304229736,0.05077194795012474,0.9096774458885193,0.3523394465446472
6,0.9882506728172302,0.03788089379668236,0.9419354796409607,0.24824415147304535
7,0.9882506728172302,0.0289511326700449,0.9419354796409607,0.29878950119018555
8,0.9895561337471008,0.025900309905409813,0.9290322661399841,0.2598190903663635
9,0.9895561337471008,0.02223093807697296,0.948387086391449,0.2385818511247635
10,0.9895561337471008,0.030575411394238472,0.948387086391449,0.3083132803440094
