Epoch,Training accuracy,Training loss,Validation accuracy,Validation loss
1,0.7872062921524048,0.5755631327629089,0.8838709592819214,0.3766074776649475
2,0.8994777798652649,0.3032071590423584,0.9161290526390076,0.28757378458976746
3,0.9530026316642761,0.15294145047664642,0.948387086391449,0.19726546108722687
4,0.9673629403114319,0.09744885563850403,0.9419354796409607,0.22897969186306
5,0.9804177284240723,0.0661880299448967,0.9354838728904724,0.21482403576374054
6,0.9830287098884583,0.0476531945168972,0.9096774458885193,0.3632200062274933
7,0.9895561337471008,0.034199781715869904,0.9161290526390076,0.23795370757579803
8,0.9804177284240723,0.058366142213344574,0.948387086391449,0.17259439826011658
9,0.9882506728172302,0.03719855844974518,0.9354838728904724,0.15768705308437347
10,0.9869451522827148,0.02919594943523407,0.9354838728904724,0.15342214703559875
